UTC,year,Month,Day,h,From,To,Cons_percentage
1/1/2017 5:00,2017,1,1,6,1/1/2017 6:00,1/1/2017 7:00,0.0002407851
1/1/2017 6:00,2017,1,1,7,1/1/2017 7:00,1/1/2017 8:00,0.0003210779
1/1/2017 7:00,2017,1,1,8,1/1/2017 8:00,1/1/2017 9:00,0.0003749757
1/1/2017 8:00,2017,1,1,9,1/1/2017 9:00,1/1/2017 10:00,0.0003687589
1/1/2017 9:00,2017,1,1,10,1/1/2017 10:00,1/1/2017 11:00,0.0003417325
1/1/2017 10:00,2017,1,1,11,1/1/2017 11:00,1/1/2017 12:00,0.0003204084
1/1/2017 11:00,2017,1,1,12,1/1/2017 12:00,1/1/2017 13:00,0.0003007283
1/1/2017 12:00,2017,1,1,13,1/1/2017 13:00,1/1/2017 14:00,0.0002794068
1/1/2017 13:00,2017,1,1,14,1/1/2017 14:00,1/1/2017 15:00,0.0002686232
1/1/2017 14:00,2017,1,1,15,1/1/2017 15:00,1/1/2017 16:00,0.0002734506
1/1/2017 15:00,2017,1,1,16,1/1/2017 16:00,1/1/2017 17:00,0.0002889998
1/1/2017 16:00,2017,1,1,17,1/1/2017 17:00,1/1/2017 18:00,0.0003021805
1/1/2017 17:00,2017,1,1,18,1/1/2017 18:00,1/1/2017 19:00,0.0003042909
1/1/2017 18:00,2017,1,1,19,1/1/2017 19:00,1/1/2017 20:00,0.0002950309
1/1/2017 19:00,2017,1,1,20,1/1/2017 20:00,1/1/2017 21:00,0.0002796786
1/1/2017 20:00,2017,1,1,21,1/1/2017 21:00,1/1/2017 22:00,0.0002503798
1/1/2017 21:00,2017,1,1,22,1/1/2017 22:00,1/1/2017 23:00,0.0001892749
1/1/2017 22:00,2017,1,1,23,1/1/2017 23:00,1/2/2017 0:00,0.0001367463
1/1/2017 23:00,2017,1,2,0,1/2/2017 0:00,1/2/2017 1:00,0.0001168843
1/2/2017 0:00,2017,1,2,1,1/2/2017 1:00,1/2/2017 2:00,0.0001128317
1/2/2017 1:00,2017,1,2,2,1/2/2017 2:00,1/2/2017 3:00,0.0001146333
1/2/2017 2:00,2017,1,2,3,1/2/2017 3:00,1/2/2017 4:00,0.0001211887
1/2/2017 3:00,2017,1,2,4,1/2/2017 4:00,1/2/2017 5:00,0.000140403
1/2/2017 4:00,2017,1,2,5,1/2/2017 5:00,1/2/2017 6:00,0.0001948525
1/2/2017 5:00,2017,1,2,6,1/2/2017 6:00,1/2/2017 7:00,0.0003267017
1/2/2017 6:00,2017,1,2,7,1/2/2017 7:00,1/2/2017 8:00,0.0003645116
1/2/2017 7:00,2017,1,2,8,1/2/2017 8:00,1/2/2017 9:00,0.0003408158
1/2/2017 8:00,2017,1,2,9,1/2/2017 9:00,1/2/2017 10:00,0.0003140856
1/2/2017 9:00,2017,1,2,10,1/2/2017 10:00,1/2/2017 11:00,0.0002896396
1/2/2017 10:00,2017,1,2,11,1/2/2017 11:00,1/2/2017 12:00,0.0002791186
1/2/2017 11:00,2017,1,2,12,1/2/2017 12:00,1/2/2017 13:00,0.0002724136
1/2/2017 12:00,2017,1,2,13,1/2/2017 13:00,1/2/2017 14:00,0.0002625638
1/2/2017 13:00,2017,1,2,14,1/2/2017 14:00,1/2/2017 15:00,0.0002575703
1/2/2017 14:00,2017,1,2,15,1/2/2017 15:00,1/2/2017 16:00,0.0002709556
1/2/2017 15:00,2017,1,2,16,1/2/2017 16:00,1/2/2017 17:00,0.0003067094
1/2/2017 16:00,2017,1,2,17,1/2/2017 17:00,1/2/2017 18:00,0.0003302146
1/2/2017 17:00,2017,1,2,18,1/2/2017 18:00,1/2/2017 19:00,0.0003275877
1/2/2017 18:00,2017,1,2,19,1/2/2017 19:00,1/2/2017 20:00,0.0003173736
1/2/2017 19:00,2017,1,2,20,1/2/2017 20:00,1/2/2017 21:00,0.0002976423
1/2/2017 20:00,2017,1,2,21,1/2/2017 21:00,1/2/2017 22:00,0.0002602275
1/2/2017 21:00,2017,1,2,22,1/2/2017 22:00,1/2/2017 23:00,0.0001912957
1/2/2017 22:00,2017,1,2,23,1/2/2017 23:00,1/3/2017 0:00,0.0001380862
1/2/2017 23:00,2017,1,3,0,1/3/2017 0:00,1/3/2017 1:00,0.0001173043
1/3/2017 0:00,2017,1,3,1,1/3/2017 1:00,1/3/2017 2:00,0.000113604
1/3/2017 1:00,2017,1,3,2,1/3/2017 2:00,1/3/2017 3:00,0.0001155045
1/3/2017 2:00,2017,1,3,3,1/3/2017 3:00,1/3/2017 4:00,0.0001225525
1/3/2017 3:00,2017,1,3,4,1/3/2017 4:00,1/3/2017 5:00,0.0001410968
1/3/2017 4:00,2017,1,3,5,1/3/2017 5:00,1/3/2017 6:00,0.0001971336
1/3/2017 5:00,2017,1,3,6,1/3/2017 6:00,1/3/2017 7:00,0.0003268384
1/3/2017 6:00,2017,1,3,7,1/3/2017 7:00,1/3/2017 8:00,0.0003646434
1/3/2017 7:00,2017,1,3,8,1/3/2017 8:00,1/3/2017 9:00,0.0003409486
1/3/2017 8:00,2017,1,3,9,1/3/2017 9:00,1/3/2017 10:00,0.0003142202
1/3/2017 9:00,2017,1,3,10,1/3/2017 10:00,1/3/2017 11:00,0.0002897695
1/3/2017 10:00,2017,1,3,11,1/3/2017 11:00,1/3/2017 12:00,0.0002793006
1/3/2017 11:00,2017,1,3,12,1/3/2017 12:00,1/3/2017 13:00,0.0002725802
1/3/2017 12:00,2017,1,3,13,1/3/2017 13:00,1/3/2017 14:00,0.0002626152
1/3/2017 13:00,2017,1,3,14,1/3/2017 14:00,1/3/2017 15:00,0.0002575715
1/3/2017 14:00,2017,1,3,15,1/3/2017 15:00,1/3/2017 16:00,0.0002709741
1/3/2017 15:00,2017,1,3,16,1/3/2017 16:00,1/3/2017 17:00,0.0003067714
1/3/2017 16:00,2017,1,3,17,1/3/2017 17:00,1/3/2017 18:00,0.0003302851
1/3/2017 17:00,2017,1,3,18,1/3/2017 18:00,1/3/2017 19:00,0.0003276545
1/3/2017 18:00,2017,1,3,19,1/3/2017 19:00,1/3/2017 20:00,0.0003174365
1/3/2017 19:00,2017,1,3,20,1/3/2017 20:00,1/3/2017 21:00,0.000297687
1/3/2017 20:00,2017,1,3,21,1/3/2017 21:00,1/3/2017 22:00,0.0002602641
1/3/2017 21:00,2017,1,3,22,1/3/2017 22:00,1/3/2017 23:00,0.0001913445
1/3/2017 22:00,2017,1,3,23,1/3/2017 23:00,1/4/2017 0:00,0.0001381332
1/3/2017 23:00,2017,1,4,0,1/4/2017 0:00,1/4/2017 1:00,0.0001173512
1/4/2017 0:00,2017,1,4,1,1/4/2017 1:00,1/4/2017 2:00,0.0001136509
1/4/2017 1:00,2017,1,4,2,1/4/2017 2:00,1/4/2017 3:00,0.0001155576
1/4/2017 2:00,2017,1,4,3,1/4/2017 3:00,1/4/2017 4:00,0.0001226104
1/4/2017 3:00,2017,1,4,4,1/4/2017 4:00,1/4/2017 5:00,0.0001411654
1/4/2017 4:00,2017,1,4,5,1/4/2017 5:00,1/4/2017 6:00,0.0001972229
1/4/2017 5:00,2017,1,4,6,1/4/2017 6:00,1/4/2017 7:00,0.0003270726
1/4/2017 6:00,2017,1,4,7,1/4/2017 7:00,1/4/2017 8:00,0.0003648658
1/4/2017 7:00,2017,1,4,8,1/4/2017 8:00,1/4/2017 9:00,0.0003411696
1/4/2017 8:00,2017,1,4,9,1/4/2017 9:00,1/4/2017 10:00,0.0003144534
1/4/2017 9:00,2017,1,4,10,1/4/2017 10:00,1/4/2017 11:00,0.0002899904
1/4/2017 10:00,2017,1,4,11,1/4/2017 11:00,1/4/2017 12:00,0.0002795734
1/4/2017 11:00,2017,1,4,12,1/4/2017 12:00,1/4/2017 13:00,0.0002728436
1/4/2017 12:00,2017,1,4,13,1/4/2017 13:00,1/4/2017 14:00,0.0002627623
1/4/2017 13:00,2017,1,4,14,1/4/2017 14:00,1/4/2017 15:00,0.0002576717
1/4/2017 14:00,2017,1,4,15,1/4/2017 15:00,1/4/2017 16:00,0.0002711013
1/4/2017 15:00,2017,1,4,16,1/4/2017 16:00,1/4/2017 17:00,0.0003069527
1/4/2017 16:00,2017,1,4,17,1/4/2017 17:00,1/4/2017 18:00,0.0003304573
1/4/2017 17:00,2017,1,4,18,1/4/2017 18:00,1/4/2017 19:00,0.0003277982
1/4/2017 18:00,2017,1,4,19,1/4/2017 19:00,1/4/2017 20:00,0.0003175565
1/4/2017 19:00,2017,1,4,20,1/4/2017 20:00,1/4/2017 21:00,0.0002977779
1/4/2017 20:00,2017,1,4,21,1/4/2017 21:00,1/4/2017 22:00,0.0002603392
1/4/2017 21:00,2017,1,4,22,1/4/2017 22:00,1/4/2017 23:00,0.0001914258
1/4/2017 22:00,2017,1,4,23,1/4/2017 23:00,1/5/2017 0:00,0.0001382063
1/4/2017 23:00,2017,1,5,0,1/5/2017 0:00,1/5/2017 1:00,0.0001174261
1/5/2017 0:00,2017,1,5,1,1/5/2017 1:00,1/5/2017 2:00,0.0001137272
1/5/2017 1:00,2017,1,5,2,1/5/2017 2:00,1/5/2017 3:00,0.000115643
1/5/2017 2:00,2017,1,5,3,1/5/2017 3:00,1/5/2017 4:00,0.0001226998
1/5/2017 3:00,2017,1,5,4,1/5/2017 4:00,1/5/2017 5:00,0.0001412709
1/5/2017 4:00,2017,1,5,5,1/5/2017 5:00,1/5/2017 6:00,0.0001973699
1/5/2017 5:00,2017,1,5,6,1/5/2017 6:00,1/5/2017 7:00,0.000327137
1/5/2017 6:00,2017,1,5,7,1/5/2017 7:00,1/5/2017 8:00,0.000364912
1/5/2017 7:00,2017,1,5,8,1/5/2017 8:00,1/5/2017 9:00,0.0003412126
1/5/2017 8:00,2017,1,5,9,1/5/2017 9:00,1/5/2017 10:00,0.0003144996
1/5/2017 9:00,2017,1,5,10,1/5/2017 10:00,1/5/2017 11:00,0.0002900373
1/5/2017 10:00,2017,1,5,11,1/5/2017 11:00,1/5/2017 12:00,0.0002796717
1/5/2017 11:00,2017,1,5,12,1/5/2017 12:00,1/5/2017 13:00,0.0002729262
1/5/2017 12:00,2017,1,5,13,1/5/2017 13:00,1/5/2017 14:00,0.0002627296
1/5/2017 13:00,2017,1,5,14,1/5/2017 14:00,1/5/2017 15:00,0.0002575923
1/5/2017 14:00,2017,1,5,15,1/5/2017 15:00,1/5/2017 16:00,0.0002710367
1/5/2017 15:00,2017,1,5,16,1/5/2017 16:00,1/5/2017 17:00,0.0003069267
1/5/2017 16:00,2017,1,5,17,1/5/2017 17:00,1/5/2017 18:00,0.0003304385
1/5/2017 17:00,2017,1,5,18,1/5/2017 18:00,1/5/2017 19:00,0.0003277821
1/5/2017 18:00,2017,1,5,19,1/5/2017 19:00,1/5/2017 20:00,0.0003175413
1/5/2017 19:00,2017,1,5,20,1/5/2017 20:00,1/5/2017 21:00,0.0002977465
1/5/2017 20:00,2017,1,5,21,1/5/2017 21:00,1/5/2017 22:00,0.0002603056
1/5/2017 21:00,2017,1,5,22,1/5/2017 22:00,1/5/2017 23:00,0.0001914208
1/5/2017 22:00,2017,1,5,23,1/5/2017 23:00,1/6/2017 0:00,0.0001382124
1/5/2017 23:00,2017,1,6,0,1/6/2017 0:00,1/6/2017 1:00,0.0001174359
