Time,Total,Generator
0,54.6510088759,5
1,54.2859732475,5
2,54.2836327149,5
3,53.5776051936,5
4,53.1262393282,5
5,52.6553996001,5
6,52.0482331122,5
7,51.9934033959,5
8,51.7213178827,5
9,51.1020806629,5
10,51.066216932,5
11,50.8863814964,5
12,50.5936632286,5
13,50.3025729208,5
14,50.2635213537,5
15,50.2535554249,5
16,50.2050299176,5
17,50.1929452493,5
18,50.076790038,5
19,49.7857513738,5
20,49.5394160634,5
21,49.518491502,5
22,49.4927378824,5
23,49.483580568,5
24,49.3451845759,5
25,49.311092517,5
26,49.1614569989,5
27,49.1602230707,5
28,48.9963852036,5
29,48.4560942731,5
30,48.4276483127,5
31,48.4118535431,5
32,48.4109376232,5
33,48.2341013391,5
34,48.186643722,5
35,47.8922478033,5
36,47.7786197623,5
37,47.724331644,5
38,47.6472464584,5
39,47.6290902924,5
40,47.5335212514,5
41,47.5076207016,5
42,47.4085388844,5
43,47.3879155594,5
44,47.2159484373,5
45,47.1760628686,5
46,47.1548155192,5
47,47.0156176349,5
48,46.9625641173,5
49,46.9391845239,5
50,46.9137541391,5
51,46.8296475015,5
52,46.8172835818,5
53,46.8082457599,5
54,46.734645701,5
55,46.7132015419,5
56,46.6306622148,5
57,46.6166375041,5
58,46.4637545012,5
59,46.4261814493,5
60,46.3318454051,5
61,46.271505434,5
62,46.2684538866,5
63,46.2247138674,5
64,46.2142174578,5
65,46.1415204547,5
66,46.1415029701,5
67,46.0750051528,5
68,45.9855374615,5
69,45.9458249194,5
70,45.9066335447,5
71,45.9017368393,5
72,45.8430902191,5
73,45.8041825112,5
74,45.7902892233,5
75,45.74998699,5
76,45.7251103047,5
77,45.6706357918,5
78,45.6258427416,5
79,45.608254269,5
80,45.6048563817,5
81,45.5847406732,5
82,45.5792601391,5
83,45.411635311,5
84,45.3551229063,5
85,45.2928674847,5
86,45.2489106507,5
87,45.2153995506,5
88,45.2077359029,5
89,45.1884273898,5
90,45.1598735769,5
91,45.1106127968,5
92,45.074095829,5
93,45.0638241263,5
94,45.0519266789,5
95,44.9830720097,5
96,44.9533713815,5
97,44.8334234727,5
98,44.8080508494,5
99,44.7834721381,5
100,44.7553194032,5
101,44.7524095183,5
102,44.7363062038,5
103,44.6860865033,5
104,44.6839344977,5
105,44.6762973642,5
106,44.6030066252,5
107,44.5859965587,5
108,44.5832997144,5
109,44.5832771797,5
110,44.5646124453,5
111,44.5265678266,5
112,44.4815635136,5
113,44.4806239672,5
114,44.475543028,5
115,44.4709639328,5
116,44.4440888563,5
117,44.4246970125,5
118,44.3413325793,5
119,44.2976286763,5
120,44.2806120201,5
121,44.2357592883,5
122,44.2058234193,5
123,44.1836555615,5
124,44.1314969508,5
125,44.0934502834,5
126,44.0828245941,5
127,44.0604830899,5
128,44.0505115969,5
129,44.0315971166,5
130,44.0101234397,5
131,44.004605905,5
132,44.0010700119,5
133,43.9017400127,5
134,43.8459961589,5
135,43.8321567111,5
136,43.8106240117,5
137,43.8102698446,5
138,43.8016490994,5
139,43.8012783336,5
140,43.7804072177,5
141,43.764722405,5
142,43.7041395341,5
143,43.6362120176,5
144,43.6332498987,5
145,43.6095870816,5
146,43.579583248,5
147,43.5496977304,5
148,43.5434867559,5
149,43.484112446,5
150,43.4377721695,5
151,43.4190085113,5
152,43.4076259551,5
153,43.3245784599,5
154,43.2276152747,5
155,43.2088419546,5
156,43.1797016654,5
157,43.1292934955,5
158,43.1119276543,5
159,43.0932606921,5
160,43.0741513519,5
161,43.0648409632,5
162,43.052062982,5
163,43.0177114599,5
164,43.0091030653,5
165,42.9452327527,5
166,42.9368876349,5
167,42.9313682496,5
168,42.9291092666,5
169,42.9240929118,5
170,42.9206007538,5
171,42.9100798422,5
172,42.840916972,5
173,42.8375601667,5
174,42.8161436955,5
175,42.7928172831,5
176,42.7508446035,5
177,42.7447638361,5
178,42.7122888197,5
179,42.7099012762,5
180,42.6498575388,5
181,42.6490224775,5
182,42.6409356444,5
183,42.5866800853,5
184,42.5462597179,5
185,42.5088868864,5
186,42.4945011835,5
187,42.4854356994,5
188,42.4677813579,5
189,42.465099785,5
190,42.4642733372,5
191,42.3991347627,5
192,42.3916845939,5
193,42.37570115,5
194,42.3667017857,5
195,42.3176053436,5
196,42.2795267185,5
197,42.2385793568,5
198,42.2280466756,5
199,42.2154166206,5
200,42.2080799916,5
201,42.1496825973,5
202,42.138661613,5
203,42.1312027871,5
204,42.112919326,5
205,42.075089167,5
206,42.0319242132,5
207,41.985153412,5
208,41.9368503278,5
209,41.9221546383,5
210,41.909476292,5
211,41.9047075628,5
212,41.8911817622,5
213,41.8794946615,5
214,41.8739929898,5
215,41.8660888324,5
216,41.865816585,5
217,41.8037371078,5
218,41.7805750076,5
219,41.7366753984,5
220,41.7276570778,5
221,41.7243643892,5
222,41.7171733298,5
223,41.7137465729,5
224,41.7045038313,5
225,41.6826257425,5
226,41.6774424753,5
227,41.6258126213,5
228,41.5955289163,5
229,41.5912742657,5
230,41.5904048991,5
231,41.5796716225,5
232,41.5618113529,5
233,41.5306996321,5
234,41.5108824367,5
235,41.4629399314,5
236,41.4477992373,5
237,41.4408335439,5
238,41.4248464583,5
239,41.3534335091,5
240,41.3209126508,5
241,41.3119744435,5
242,41.2512624531,5
243,41.2391628299,5
244,41.2257581542,5
245,41.2251384198,5
246,41.2121722035,5
247,41.196663643,5
248,41.1400360276,5
249,41.1313667357,5
250,41.1047835854,5
251,41.07123144,5
252,40.9825932921,5
253,40.9598218026,5
254,40.9152037734,5
255,40.896163902,5
256,40.8873663855,5
257,40.8796739091,5
258,40.876164317,5
259,40.8475599548,5
260,40.8474424112,5
261,40.8337940092,5
262,40.8309158132,5
263,40.8222553322,5
264,40.8185607483,5
265,40.8181588055,5
266,40.7789615958,5
267,40.7766048843,5
268,40.7712838592,5
269,40.7556024696,5
270,40.7171380478,5
271,40.7029493057,5
272,40.7010744738,5
273,40.6979889633,5
274,40.6626873386,5
275,40.6612315356,5
276,40.6523875051,5
277,40.6523774381,5
278,40.6505885812,5
279,40.6392750832,5
280,40.6387529516,5
281,40.6235921845,5
282,40.6159877784,5
283,40.5758920383,5
284,40.5752665439,5
285,40.5679119733,5
286,40.5646457534,5
287,40.5522663972,5
288,40.5461181417,5
289,40.5204367308,5
290,40.5197908622,5
291,40.5069045553,5
292,40.5008053361,5
293,40.4805493645,5
294,40.4798888464,5
295,40.46114918,5
296,40.4524480317,5
297,40.4151597523,5
298,40.4076223696,5
299,40.380071422,5
300,40.3490566394,5
301,40.3387851958,5
302,40.3353290244,5
303,40.3224518971,5
304,40.2724276614,5
305,40.2630484272,5
306,40.2558667653,5
307,40.2525685236,5
308,40.228644522,5
309,40.2272802884,5
310,40.1859125732,5
311,40.1835266164,5
312,40.1701169337,5
313,40.1607925442,5
314,40.1198087189,5
315,40.115918586,5
316,40.1096766862,5
317,40.1057905976,5
318,40.0941169194,5
319,40.0851874094,5
320,40.0832434556,5
321,40.0823852477,5
322,40.0738546687,5
323,40.0508004752,5
324,40.0458055929,5
325,40.0443423163,5
326,40.0305979423,5
327,40.0264963179,5
328,40.023383313,5
329,40.0224749954,5
330,40.0180758747,5
331,39.9933491251,5
332,39.9867254141,5
333,39.9731953381,5
334,39.9536306728,5
335,39.9489019347,5
336,39.9446613873,5
337,39.9412271829,5
338,39.9295238635,5
339,39.928706541,5
340,39.9250482126,5
341,39.8944536339,5
342,39.891910585,5
343,39.8829154265,5
344,39.8630048031,5
345,39.8396000055,5
346,39.7997319528,5
347,39.7831297421,5
348,39.758740934,5
349,39.73402822,5
350,39.7330810027,5
351,39.7231188327,5
352,39.7037540769,5
353,39.6894856366,5
354,39.6824716091,5
355,39.6622934518,5
356,39.6499508248,5
357,39.6429042796,5
358,39.6027145369,5
359,39.5566223071,5
360,39.5553556099,5
361,39.5498663866,5
362,39.5495929017,5
363,39.537778093,5
364,39.532347165,5
365,39.5207991617,5
366,39.5199135549,5
367,39.5152342328,5
368,39.5082336636,5
369,39.4987642615,5
370,39.4820504678,5
371,39.4765614597,5
372,39.4751542726,5
373,39.4670309394,5
374,39.4587592611,5
375,39.445045252,5
376,39.4173173389,5
377,39.412633849,5
378,39.4124944541,5
379,39.4094400193,5
380,39.4086102494,5
381,39.3859261392,5
382,39.376069353,5
383,39.3720437658,5
384,39.357924478,5
385,39.3395633035,5
386,39.3357852785,5
387,39.3253941762,5
388,39.321857787,5
389,39.3209505955,5
390,39.3190882597,5
391,39.3121238421,5
392,39.3082576254,5
393,39.3042688851,5
394,39.3002129133,5
395,39.291547126,5
396,39.2801998813,5
397,39.252833611,5
398,39.2498453268,5
399,39.2451321804,5
400,39.2320754752,5
401,39.2274101633,5
402,39.2267015218,5
403,39.2236586207,5
404,39.2115984876,5
